Order_ID,Order_Date,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Quantity,Unit_Price,Total_Sales,Payment_Method,Order_Status
O0051,2026-01-01,2026,1,January,1,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,P017,Yoga Mat,Sports,FitLife,4,899,3596,Net Banking,Delivered
O0091,2026-01-01,2026,1,January,1,Thursday,C002,Zoya Khan,Delhi,North,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,2,4999,9998,Credit Card,Delivered
O0022,2026-01-02,2026,1,January,2,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,4,899,3596,Net Banking,Delivered
O0106,2026-01-02,2026,1,January,2,Friday,C001,Aarav Sharma,Srinagar,North,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,1,3499,3499,Net Banking,Delivered
O0076,2026-01-03,2026,1,January,3,Saturday,C019,Yusuf Dar,Srinagar,North,New,P015,Machine Learning Basics,Books,AIPress,1,999,999,Debit Card,Delivered
O0108,2026-01-04,2026,1,January,4,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P020,Dumbbell Set,Sports,StrongFit,1,1999,1999,Net Banking,Delivered
O0041,2026-01-04,2026,1,January,4,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,5,699,3495,Cash on Delivery,Delivered
O0018,2026-01-05,2026,1,January,5,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4,4999,19996,Net Banking,Cancelled
O0104,2026-01-05,2026,1,January,5,Monday,C011,Vivaan Kapoor,Jaipur,North,New,P006,Hoodie,Clothing,UrbanWear,3,1599,4797,Debit Card,Shipped
O0110,2026-01-05,2026,1,January,5,Monday,C007,Aditya Verma,Pune,West,Regular,P005,Power Bank,Electronics,VoltPlus,1,1199,1199,UPI,Delivered
O0028,2026-01-07,2026,1,January,7,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,3,4999,14997,UPI,Delivered
O0056,2026-01-08,2026,1,January,8,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P018,Football,Sports,SportZone,3,799,2397,Debit Card,Delivered
O0021,2026-01-09,2026,1,January,9,Friday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,1,2499,2499,Debit Card,Cancelled
O0046,2026-01-09,2026,1,January,9,Friday,C019,Yusuf Dar,Srinagar,North,New,P012,Water Bottle,Home & Kitchen,HydroLife,2,699,1398,Cash on Delivery,Delivered
O0043,2026-01-10,2026,1,January,10,Saturday,C003,Rohan Mehta,Mumbai,West,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,4,699,2796,Net Banking,Delivered
O0027,2026-01-11,2026,1,January,11,Sunday,C002,Zoya Khan,Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,1,2999,2999,Cash on Delivery,Shipped
O0034,2026-01-13,2026,1,January,13,Tuesday,C010,Mehak Bhat,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,5,1999,9995,Credit Card,Delivered
O0045,2026-01-14,2026,1,January,14,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P017,Yoga Mat,Sports,FitLife,1,899,899,Debit Card,Cancelled
O0112,2026-01-15,2026,1,January,15,Thursday,C012,Aisha Mir,Delhi,North,Premium,P006,Hoodie,Clothing,UrbanWear,4,1599,6396,UPI,Delivered
O0029,2026-01-15,2026,1,January,15,Thursday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,1,899,899,Cash on Delivery,Cancelled
O0079,2026-01-16,2026,1,January,16,Friday,C021,Aman Kumar,Delhi,North,Regular,P012,Water Bottle,Home & Kitchen,HydroLife,5,699,3495,Debit Card,Delivered
O0094,2026-01-17,2026,1,January,17,Saturday,C011,Vivaan Kapoor,Jaipur,North,New,P002,Mechanical Keyboard,Electronics,KeyPro,4,2499,9996,Net Banking,Cancelled
O0099,2026-01-17,2026,1,January,17,Saturday,C010,Mehak Bhat,Srinagar,North,Premium,P001,Wireless Headphones,Electronics,SoundMax,2,1499,2998,UPI,Shipped
O0081,2026-01-19,2026,1,January,19,Monday,C022,Alina Shah,Pune,West,New,P018,Football,Sports,SportZone,2,799,1598,Credit Card,Delivered
